Date,Open,High,Low,Close,Volume
Sun Feb 28 21:00:00 2021,45261.56,46678.6,45020.25,46355.31,371.68580963
Sun Feb 28 22:00:00 2021,46319.78,46576.43,45949.16,46268.67,158.58604193
Sun Feb 28 23:00:00 2021,46268.77,46875.18,46216.58,46524.71,180.19011449
Mon Mar  1 00:00:00 2021,46523.78,46610.72,46234.84,46380.0,196.61428475
Mon Mar  1 01:00:00 2021,46409.83,46730.4,46014.06,46495.37,97.49862725
Mon Mar  1 02:00:00 2021,46518.16,46536.73,46024.08,46247.08,237.12233147
Mon Mar  1 03:00:00 2021,46247.26,46316.5,45680.1,45900.59,221.66050666
Mon Mar  1 04:00:00 2021,45906.36,46473.3,45903.56,46322.61,128.14892047
Mon Mar  1 05:00:00 2021,46324.47,47374.24,46321.5,47075.67,326.52959937
Mon Mar  1 06:00:00 2021,47075.38,47567.79,47009.93,47411.67,543.63683243
Mon Mar  1 07:00:00 2021,47432.11,47777.27,46979.35,47678.49,507.04157259
Mon Mar  1 08:00:00 2021,47678.49,47982.37,47542.07,47859.46,304.83769047
Mon Mar  1 09:00:00 2021,47812.84,48121.0,47504.84,48016.49,267.43454673
Mon Mar  1 10:00:00 2021,48010.36,48521.0,47835.67,47903.14,377.08112076
Mon Mar  1 11:00:00 2021,47901.8,48637.84,47707.47,48171.84,391.84772041
Mon Mar  1 12:00:00 2021,48137.79,49440.17,48137.79,49302.89,1183.89354811
Mon Mar  1 13:00:00 2021,49293.56,49552.0,48625.1,49149.91,562.96785259
Mon Mar  1 14:00:00 2021,49168.32,49286.18,48581.85,48622.83,439.13509716
Mon Mar  1 15:00:00 2021,48635.02,48830.03,48273.35,48534.26,219.67421701
Mon Mar  1 16:00:00 2021,48514.97,48761.42,48050.0,48299.41,417.72732316
Mon Mar  1 17:00:00 2021,48276.34,49000.0,47933.63,48588.59,464.26428972
Mon Mar  1 18:00:00 2021,48588.29,48949.14,48423.3,48861.48,262.44114987
Mon Mar  1 19:00:00 2021,48858.83,49361.47,48664.31,49177.18,181.81059885
Mon Mar  1 20:00:00 2021,49168.13,49831.52,49129.87,49629.33,470.92964192
Mon Mar  1 21:00:00 2021,49641.89,50250.0,49355.96,49477.94,377.60190812
Mon Mar  1 22:00:00 2021,49438.03,49465.93,48740.17,49436.69,253.8165852
Mon Mar  1 23:00:00 2021,49412.61,49833.35,49091.01,49314.43,102.29517258
Tue Mar  2 00:00:00 2021,49340.2,49435.2,48859.5,49007.1,147.48664878
Tue Mar  2 01:00:00 2021,49014.58,49262.38,48597.88,49191.22,269.51516948
Tue Mar  2 02:00:00 2021,49184.27,49405.25,48700.01,48719.33,105.62465038
Tue Mar  2 03:00:00 2021,48700.0,48881.72,48364.92,48689.56,222.24915539
Tue Mar  2 04:00:00 2021,48685.92,48865.08,48353.72,48419.78,153.47590898
Tue Mar  2 05:00:00 2021,48400.46,49250.0,48304.83,48873.49,159.08411663
Tue Mar  2 06:00:00 2021,48931.46,49299.18,48910.88,49185.97,203.01535107
Tue Mar  2 07:00:00 2021,49191.45,49308.67,48580.3,48742.0,134.69433925
Tue Mar  2 08:00:00 2021,48759.76,49104.59,48586.42,48914.81,142.64565113
Tue Mar  2 09:00:00 2021,48885.21,49170.19,48607.37,48866.91,161.51829374
Tue Mar  2 10:00:00 2021,48873.06,49107.18,48770.12,49031.93,108.28770271
Tue Mar  2 11:00:00 2021,49032.78,49734.76,48734.69,48900.0,326.7816559
Tue Mar  2 12:00:00 2021,48900.0,49062.57,48412.35,48714.58,204.18773507
Tue Mar  2 13:00:00 2021,48713.15,48762.48,47300.0,47538.45,557.28058621
Tue Mar  2 14:00:00 2021,47528.84,48014.08,47234.0,47916.35,271.36499044
Tue Mar  2 15:00:00 2021,47902.15,48082.51,47540.5,47695.11,234.37574663
Tue Mar  2 16:00:00 2021,47688.47,47960.5,47150.0,47461.11,161.24755899
Tue Mar  2 17:00:00 2021,47441.59,47649.0,47069.52,47559.08,233.37875633
Tue Mar  2 18:00:00 2021,47564.89,47873.25,47300.0,47451.11,100.28511797
Tue Mar  2 19:00:00 2021,47450.9,47995.6,47380.81,47855.44,138.41486726
Tue Mar  2 20:00:00 2021,47842.25,48532.07,47782.85,48516.35,177.16113868
Tue Mar  2 21:00:00 2021,48438.0,48768.9,48168.45,48564.41,98.82170842
Tue Mar  2 22:00:00 2021,48569.03,48907.84,48525.35,48891.97,69.96963741
